geo,Country,year,Consumption Industry,Consumption Households,Consumption Transport,REN Share,REN Share Electricity,REN Share Heat-Cool,REN Share Transport,Price+Taxes,Price
ES,Spain,2023-01-01,18814.009,13671.209,32202.67,24.981,56.915,21.904,11.96,0.2400499999999999,0.21165
FI,Finland,2023-01-01,9291.803,5465.387,3765.734,50.784,52.374,61.355,20.299,0.248,0.1823
FR,France,2023-01-01,24450.687,36640.154,44181.249,22.462,30.295,30.182,9.944,0.24455,0.2027
HR,Croatia,2023-01-01,1173.888,2224.526,2488.585,28.088,57.518,36.173,0.919,0.148,0.11705
HU,Hungary,2023-01-01,3998.463,5367.117,4932.683,17.117,19.537,22.268,7.575,0.11445,0.0901
IE,Ireland,2023-01-01,2128.803,2497.658,4104.541,15.243,40.43,7.778,7.593,0.32645,0.4552
IS,Iceland,2023-01-01,1389.684,453.257,336.544,79.444,99.896,83.114,15.7,0.15725,0.1241
IT,Italy,2023-01-01,22746.576,26546.617,37105.49,19.179,38.905,20.283,10.435,0.35645,0.28975
LI,Liechtenstein,2023-01-01,,,,,,,,0.3969,0.3530999999999999
LT,Lithuania,2023-01-01,898.67,1530.945,2144.1,31.927,36.469,53.611,7.231,0.25215,0.2163
LU,Luxembourg,2023-01-01,496.168,438.685,1509.857,14.312,18.196,15.388,9.118,0.20115,0.29435
LV,Latvia,2023-01-01,921.39,1079.133,1021.614,43.25,54.317,61.401,1.358,0.2914,0.2509
MT,Malta,2023-01-01,54.503,116.023,266.233,15.437,10.729,53.231,10.748,0.127,0.11945
NL,Netherlands,2023-01-01,11640.785,7673.371,9412.102,17.588,46.419,10.359,13.51,0.3031,0.3478
PL,Poland,2023-01-01,13723.846,19920.949,23719.096,16.651,25.793,20.61,6.339,0.19655,0.1041
PT,Portugal,2023-01-01,4312.763,3019.665,6173.905,35.154,63.01,47.098,11.162,0.2185,0.24975
RO,Romania,2023-01-01,4958.0,7552.174,7721.894,25.758,47.391,29.126,8.39,0.1901,0.1437999999999999
SE,Sweden,2023-01-01,11253.547,7050.024,6494.967,66.393,87.547,67.068,33.645,0.2421499999999999,0.15955
SI,Slovenia,2023-01-01,1073.341,1040.915,1834.363,25.066,41.887,34.302,10.021,0.2015,0.1614
SK,Slovakia,2023-01-01,2869.479,2425.468,2624.335,16.991,24.201,18.795,9.182,0.19175,0.1276
AT,Austria,2024-01-01,6875.366,6932.267,7311.306,42.951,90.065,42.169,14.591,0.2584,0.2812
BE,Belgium,2024-01-01,9846.714,7099.329,8920.858,14.336,31.274,11.259,12.717,0.33335,0.2435
BG,Bulgaria,2024-01-01,2594.815,1961.546,3748.692,23.21,33.843,34.187,8.197,0.1202,0.10015
CY,Cyprus,2024-01-01,246.929,347.807,697.176,20.844,24.086,42.297,7.389,0.3246,0.2095
CZ,Czechia,2024-01-01,5671.87,6229.411,7313.13,19.211,17.928,29.057,5.743,0.33415,0.25425
DE,Germany,2024-01-01,48101.304,52454.89,49691.027,22.474,54.084,17.677,12.367,0.3947,0.28015
DK,Denmark,2024-01-01,2133.981,4135.652,3794.339,46.461,79.655,56.42,14.12,0.37355,0.19055
EE,Estonia,2024-01-01,494.025,978.233,993.989,42.232,38.882,67.811,7.707,0.2257,0.17325
EL,Greece,2024-01-01,2500.426,3862.774,6351.373,25.364,51.248,32.639,3.872,0.2264499999999999,0.1909
ES,Spain,2024-01-01,19093.126,13879.984,32870.13,25.417,59.673,21.572,11.298,0.2422,0.18615
FI,Finland,2024-01-01,9390.176,5362.842,3767.791,52.124,54.309,62.592,20.331,0.2404,0.1705499999999999
FR,France,2024-01-01,24067.715,36623.464,44509.078,23.229,31.344,31.316,10.788,0.28865,0.2221
HR,Croatia,2024-01-01,1157.171,2213.975,2747.48,26.477,58.04,34.805,0.936,0.1478,0.1174
HU,Hungary,2024-01-01,4157.212,5327.465,4907.517,18.264,24.056,22.608,7.918,0.1063,0.08365
IE,Ireland,2024-01-01,2174.005,2627.755,4112.536,16.064,41.336,7.913,8.657,0.2818,0.37925
IS,Iceland,2024-01-01,1369.054,494.519,327.755,79.332,102.443,79.453,11.194,0.1758,0.13905
IT,Italy,2024-01-01,22900.505,26782.433,38137.662,19.385,40.654,20.223,9.951,0.31925,0.23415
LI,Liechtenstein,2024-01-01,,,,,,,,0.31475,0.27545
LT,Lithuania,2024-01-01,979.789,1616.951,2084.679,35.408,48.987,52.084,8.983,0.22295,0.18425
LU,Luxembourg,2024-01-01,532.567,443.037,1457.037,14.742,20.5,19.033,9.456,0.20265,0.30215
LV,Latvia,2024-01-01,920.233,1099.341,966.262,45.535,55.514,61.787,8.78,0.2476999999999999,0.221
MT,Malta,2024-01-01,56.279,121.621,275.024,17.21,10.655,59.209,11.351,0.12875,0.1211
NL,Netherlands,2024-01-01,12229.708,7689.932,9389.474,20.18,50.545,11.274,19.746,0.23345,0.2722
PL,Poland,2024-01-01,14534.874,19636.596,24367.676,17.77,30.37,21.287,6.033,0.22835,0.1217
PT,Portugal,2024-01-01,4472.519,2939.639,6155.335,36.319,65.801,46.952,14.329,0.2526,0.1758
RO,Romania,2024-01-01,5042.183,7434.117,7944.828,25.378,47.645,28.097,8.395,0.1873,0.13915
SE,Sweden,2024-01-01,11104.048,6995.723,6847.492,62.846,88.143,67.828,26.399,0.23925,0.1538999999999999
SI,Slovenia,2024-01-01,1081.758,1033.167,1934.965,25.001,43.079,33.661,9.242,0.2045,0.1652
SK,Slovakia,2024-01-01,2875.036,2299.882,2597.773,18.092,24.91,20.427,9.611,0.1788,0.1235
