geo,Country,year,Consumption Industry,Consumption Households,Consumption Transport,REN Share,REN Share Electricity,REN Share Heat-Cool,REN Share Transport,Price+Taxes,Price
SI,Slovenia,2016-01-01,1242.337,1196.324,1882.533,21.975,32.056,35.563,1.601,0.16235,0.11145
SK,Slovakia,2016-01-01,3308.576,2688.692,2429.877,12.029,22.513,9.879,7.765,0.148,0.12015
AT,Austria,2017-01-01,7629.156,6955.601,8724.365,33.136,71.626,33.67,9.703,0.1964,0.12195
BE,Belgium,2017-01-01,10445.991,8131.16,8857.471,9.136,17.214,8.2,6.637,0.2867,0.18595
BG,Bulgaria,2017-01-01,2757.516,2318.715,3324.915,18.695,19.022,29.854,7.273,0.0969,0.08075
CY,Cyprus,2017-01-01,234.2,342.362,681.155,10.478,8.911,26.42,2.561,0.18445,0.1437
CZ,Czechia,2017-01-01,6734.121,7202.965,6617.264,14.799,13.654,19.728,6.616,0.1462999999999999,0.1197
DE,Germany,2017-01-01,57146.089,56777.115,57247.225,15.472,34.612,13.369,7.028,0.3048,0.1386
DK,Denmark,2017-01-01,2284.643,4498.219,4439.864,34.387,59.94,44.063,6.935,0.30295,0.0931
EE,Estonia,2017-01-01,462.926,940.914,803.862,29.538,17.583,52.217,0.417,0.1263,0.0938
EL,Greece,2017-01-01,2762.817,4401.052,5815.313,17.3,24.464,28.246,4.001,0.16655,0.11145
ES,Spain,2017-01-01,21134.634,14392.022,31749.555,17.118,36.465,16.205,5.798,0.22365,0.17585
FI,Finland,2017-01-01,10699.835,5761.435,4194.818,40.857,35.044,54.593,18.679,0.1589999999999999,0.10565
FR,France,2017-01-01,27997.768,42420.967,46943.875,15.847,19.933,20.599,8.765,0.173,0.11105
HR,Croatia,2017-01-01,1148.118,2392.72,2196.674,27.28,46.437,36.627,1.174,0.1216,0.1011499999999999
HU,Hungary,2017-01-01,4282.774,6294.138,4496.778,13.556,7.513,19.902,7.731,0.11295,0.08895
IE,Ireland,2017-01-01,2219.211,2768.312,4089.782,10.52,30.318,6.624,7.442,0.2329999999999999,0.18555
IS,Iceland,2017-01-01,1394.304,422.526,352.87,74.104,93.376,78.253,6.999,0.1558,0.12315
IT,Italy,2017-01-01,24925.749,32898.639,34525.408,18.267,34.104,20.083,6.484,0.2106,0.1324
LI,Liechtenstein,2017-01-01,,,,,,,,0.1671,0.14115
LT,Lithuania,2017-01-01,1070.927,1455.374,1960.025,26.038,18.255,46.495,4.3,0.11115,0.078
LU,Luxembourg,2017-01-01,630.695,535.579,1966.428,6.194,8.055,7.45,6.478,0.16165,0.11685
LV,Latvia,2017-01-01,793.307,1195.604,1080.824,39.008,54.352,54.582,2.27,0.1583999999999999,0.1041
MT,Malta,2017-01-01,57.156,91.096,207.327,7.219,6.845,19.314,6.826,0.1313,0.12355
NL,Netherlands,2017-01-01,13784.187,9584.967,10186.745,6.507,13.812,5.75,5.842,0.1595,0.1185
PL,Poland,2017-01-01,15820.047,20063.177,21415.239,11.059,13.082,14.779,4.232,0.14485,0.0955
PT,Portugal,2017-01-01,4525.297,2801.785,5788.829,30.611,54.168,41.022,7.914,0.2257,0.1093
RO,Romania,2017-01-01,6437.729,7732.038,6149.188,24.454,41.965,26.581,6.558,0.1243499999999999,0.0907999999999999
SE,Sweden,2017-01-01,10828.964,7696.829,7307.861,53.39,65.909,63.62,26.842,0.1984,0.1281
SI,Slovenia,2017-01-01,1295.612,1171.381,1934.203,21.658,32.425,34.639,2.571,0.1611,0.1104499999999999
SK,Slovakia,2017-01-01,3452.442,2744.162,2772.655,11.465,21.343,9.837,6.95,0.1438499999999999,0.0834999999999999
AT,Austria,2018-01-01,7563.291,6531.091,8836.593,33.784,74.189,34.178,9.931,0.1989,0.12485
BE,Belgium,2018-01-01,10682.546,8039.139,8901.812,9.472,18.886,8.29,6.709,0.288,0.1924
BG,Bulgaria,2018-01-01,2736.144,2229.672,3374.736,20.581,22.355,33.25,8.076,0.0992,0.0827
CY,Cyprus,2018-01-01,227.688,334.957,684.771,13.873,9.357,37.164,2.661,0.2037999999999999,0.1594999999999999
CZ,Czechia,2018-01-01,6699.106,7042.708,6659.891,15.139,13.711,20.642,6.556,0.1579499999999999,0.1292499999999999
DE,Germany,2018-01-01,57090.092,55822.36,55470.398,16.66,37.591,14.22,7.941,0.29935,0.13785
