geo,Country,year,FC_IND_E_value,FC_OTH_HH_E_value,FC_TRA_E_value,REN_value,REN_ELC_value,REN_HEAT_CL_value,REN_TRA_value,I_TAX_value,X_TAX_value
SI,Slovenia,2020,1256.408,1091.333,1583.292,25.0,35.095,32.141,10.911,0.15710000000000002,0.11215
SI,Slovenia,2021,1294.263,1162.089,1799.603,25.0,34.976,35.216,10.642,0.16865,0.1169
SI,Slovenia,2022,1181.138,1052.349,1954.951,25.002,37.005,33.989,7.828,0.1673,0.1278
SI,Slovenia,2023,1073.341,1040.915,1834.363,25.066,41.887,34.302,10.021,0.2015,0.1614
SI,Slovenia,2024,1081.758,1033.167,1934.965,25.001,43.079,33.661,9.242,0.20450000000000002,0.1652
SK,Slovakia,2015,3333.371,2573.288,2168.799,12.882,22.656,10.791,8.631,0.15115,0.12275
SK,Slovakia,2016,3308.576,2688.692,2429.877,12.029,22.513,9.879,7.765,0.14800000000000002,0.12015
SK,Slovakia,2017,3452.442,2744.162,2772.655,11.465,21.343,9.837,6.95,0.14384999999999998,0.08349999999999999
SK,Slovakia,2018,3662.539,2546.007,2744.051,11.896,21.499,10.599,6.988,0.15139999999999998,0.08955
SK,Slovakia,2019,3463.68,2637.679,2789.729,16.894,22.103,19.696,8.308,0.15810000000000002,0.09655
SK,Slovakia,2020,3138.177,2744.571,2487.886,17.345,23.066,19.427,9.259,0.17049999999999998,0.109
SK,Slovakia,2021,3382.392,2966.314,2619.259,17.419,22.402,19.521,8.755,0.1646,0.10385
SK,Slovakia,2022,3167.959,2686.513,2659.961,17.482,22.901,19.883,8.931,0.184,0.12785000000000002
SK,Slovakia,2023,2869.479,2425.468,2624.335,16.991,24.201,18.795,9.182,0.19175,0.1276
SK,Slovakia,2024,2875.036,2299.882,2597.773,18.092,24.91,20.427,9.611,0.17880000000000001,0.1235
